# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4538 channels, swept 2026-08-16.
#
# Next:  node tools/add-candidates.js catalog/reach-12.txt

UCKzzkX8GTNOu4Psx3svEzWg  # Elly Trần
UC6anYZVlJG1E3bKt-cGcdSw  # Christine Nguyen
UCI5oGL_GXsV3ikqkR72BUNg  # Dan Reed
UC6b_Fk-daJslAhULKdGFNHw  # David McNeil
UCxUD6Cneb5j6gUaaE3UhTnQ  # David Lee Myers
UC6kSakEOYQGIQ-w3G05lOnA  # Lost and Found
UCPDSEHOuBT_pCeirvkqOY0A  # Eastern Standard Time
UCJI1Ca4vWWIcuwi0Zg4-jWg  # William Sen
UCOcGxWBZM5KeWnwQC5xhhSw  # Exorcist
UCl4jxe5kkP8DMGQe0b1AFqQ  # Carver Alan Ames
UCjXRN-0tWFVceSld5LWdtcw  # Wamdue Project
UCavC-JmPw_rcpt1KM9VFjUg  # Slant
UCen_Bun7qom6QDLfhui0Fbw  # Imagika
UC5n25cMJtWpAHkvtVEKYafQ  # Simon Vincent
UCnpxTbyrcycjleyUuaTvC0g  # Jaclyn Forbes
UCyrexCscxvuMlQzp5_PGAnw  # Janie Haddad Tompkins
UCGX-TO2hTruXbWymbDWmHdg  # Josh Moshier
UC8GeKuHeuZHCziU4mRmvr3A  # REDD
UCSgdBbH9pNn-dRp5hymLBSQ  # Ten Masked Men
UCefDdGlbQNUbds2qocNdDaw  # Sanguine Hum
UC3867dG55m9amUHzYNj1MMQ  # Karda Estra
UCosCyTb3ONxDAUWq1Tus35Q  # Q1932646
UCh-FpGqlTJBRz7UDun4OAyg  # Radiator
UCVmE3BRnQZyEVzwjtYgiMSQ  # Ngọc Anh
UCU7J_R-dKjsAVbOxGRrykJg  # Croi Marie McNamara
UCNFI0eOhfdNpBs2RKfGnkZw  # ジョナサン・シガー
UCQEFUxiE_J3OM5eNiKjlJyQ  # Thomas Charter Snyder
UCzPWpk6s8zz2ce7YU3-2HSQ  # Nick Berk
UC56sOEVX_IAn-1bfdQX1WfQ  # Mark Chinnery
UC_4HJykfkIEiHlhNRoezLRQ  # Melody Chubak
UCJ8-zYYsTN88zRnLBGQZemA  # Dani Artaud
UCDVQbJnCkK38iRdK6W-btRA  # Q11831736
UCnOyoZswLQNQINv7LvO4laQ  # Tom Zutaut
UCnIasz5o3qoIllWu-SiL67w  # Hallucinogen
UCqJSwPMAqdtC9SO8NgoriWg  # Q11957676
UC5_XTfA8WLpN8IFBo38HGyQ  # Q12149200
UCNrKOxSa2kwGIFg1L-h0mWg  # Adel Hakki
UCAtcq4q3D0SXJywAQpKL-3A  # Elika Portnoy
UC9o7G6G0zZl8sS9g7wQn7VQ  # JLayne
UChsHGeT_c-LeiRQoTt7MyNg  # Emily Karpel
UCtLW0gfl1aOwTOESMwHAtPA  # Byron Metcalf
UC7-wfyXXwntTnKF-EGIe77Q  # Ovidiu Ioncu
UCtGiDF1B0iJH1nc5VVa42KQ  # Michael Dike Copper
UCqqEXBfQkM3w1wS7KyaRNPQ  # Na Fíréin
UCUeoZvQxXTJA4yrfoTsVAag  # Buffie Carruth
UC9aomwRs12AC5-P_cU6ogww  # Jesse Waugh
UC3oDDyL7HWJAlT0NyLcY2jQ  # Thieves' Kitchen
UCsFu_Vyt4PJZpCkoWTVS_cQ  # Tim Spalding
UCITKM95wJYBo8NJimK36yLg  # Sergeyev Mikhail
UCPi8wqeXv1W4JqcGNiyMovQ  # Greg Ward
UC4JJdUmprelqwf5mKKe7p0w  # Karl Klimek
UCeOsZb91Tfx-M2iCG9Kn0XA  # 4Arm
UCVjlXdbt22E7US2TRJB8W0A  # Pillory
UC324VwhYeYn22OeRuBmdkfQ  # Q15987741
UClXT3X2wG7je0o_1uya-ktw  # Lynn Webster
UCgJQxuZvzKJzNbq4pe62mIA  # Rachael Ancheril
UCkqU_7_CmVJ0xKViT9rnHEA  # Devin Lytle
UCbxQcz9k0NRRuy0ukgQTDQQ  # Gregory Austin McConnell
UC1s4h_N2io3pEoF84id1a-Q  # Gregg Braden
